;Scopy version,f4beeb1
;Exported on,dimanche octobre 13/10/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
352,-2.848,2.98314,3.18446
353,-2.847,2.98314,3.18446
354,-2.846,2.98314,3.18446
355,-2.845,3.00144,3.20276
356,-2.844,3.00144,3.20276
357,-2.843,3.00144,3.20276
358,-2.842,3.00144,3.20276
359,-2.841,3.00144,3.20276
360,-2.84,3.00144,3.22106
361,-2.839,3.01974,3.22106
362,-2.838,3.01974,3.25766
363,-2.837,3.01974,3.23936
364,-2.836,3.01974,3.23936
365,-2.835,3.01974,3.23936
366,-2.834,3.00144,3.23936
367,-2.833,3.00144,3.20276
368,-2.832,3.00144,3.20276
369,-2.831,3.00144,3.20276
370,-2.83,3.00144,3.20276
371,-2.829,3.01974,3.22106
372,-2.828,2.98314,3.18446
373,-2.827,2.98314,3.18446
374,-2.826,2.98314,3.18446
375,-2.825,3.00144,3.20276
376,-2.824,3.00144,3.22106
377,-2.823,3.00144,3.18446
378,-2.822,3.00144,3.20276
379,-2.821,3.00144,3.20276
380,-2.82,3.00144,3.22106
381,-2.819,3.01974,3.22106
382,-2.818,3.01974,3.23936
383,-2.817,3.01974,3.23936
384,-2.816,3.01974,3.23936
385,-2.815,3.01974,3.23936
386,-2.814,3.00144,3.23936
387,-2.813,3.00144,3.20276
388,-2.812,3.00144,3.20276
389,-2.811,3.00144,3.20276
390,-2.81,3.00144,3.20276
391,-2.809,3.00144,3.22106
392,-2.808,3.00144,3.18446
393,-2.807,2.98314,3.18446
394,-2.806,2.98314,3.18446
395,-2.805,3.00144,3.20276
396,-2.804,3.01974,3.22106
397,-2.803,2.98314,3.18446
398,-2.802,3.01974,3.20276
399,-2.801,3.00144,3.20276
400,-2.8,3.00144,3.22106
401,-2.799,3.01974,3.22106
402,-2.798,3.01974,3.23936
403,-2.797,3.01974,3.23936
404,-2.796,3.01974,3.23936
405,-2.795,3.01974,3.23936
406,-2.794,3.00144,3.23936
407,-2.793,3.00144,3.20276
408,-2.792,3.00144,3.20276
409,-2.791,3.00144,3.20276
410,-2.79,3.00144,3.20276
411,-2.789,3.00144,3.22106
412,-2.788,3.00144,3.18446
413,-2.787,2.98314,3.18446
414,-2.786,2.98314,3.18446
415,-2.785,3.00144,3.20276
416,-2.784,3.00144,3.22106
417,-2.783,2.98314,3.18446
418,-2.782,3.01974,3.20276
419,-2.781,3.00144,3.20276
420,-2.78,3.00144,3.22106
