;Scopy version,438f138
;Exported on,dimanche décembre 15/12/2024
;Device,M2K
;Nr of samples,1600
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
603,0.603,0.253115,-0.0549044
604,0.604,0.253115,-0.0549044
605,0.605,0.253115,-0.0549044
606,0.606,0.253115,-0.0549044
607,0.607,0.253115,-0.0549044
608,0.608,0.253115,0
609,0.609,0.253115,0
610,0.61,0.253115,0
611,0.611,0.253115,0
612,0.612,0.253115,-0.0549044
613,0.613,0.253115,-0.0549044
614,0.614,0.253115,-0.0549044
615,0.615,0.258332,-0.0549044
616,0.616,0.270504,-0.0549044
617,0.617,0.4583,-0.0549044
618,0.618,0.500032,-0.0549044
619,0.619,0.428739,-0.0549044
620,0.62,0.286154,-0.0549044
621,0.621,0.263548,-0.0549044
622,0.622,0.256593,-0.0549044
623,0.623,0.253115,-0.0549044
624,0.624,0.253115,-0.0549044
625,0.625,0.253115,-0.0549044
626,0.626,0.253115,0
627,0.627,0.253115,0
628,0.628,0.253115,0
629,0.629,0.253115,0
630,0.63,0.253115,0
631,0.631,0.253115,0
632,0.632,0.253115,0
633,0.633,0.253115,-0.0549044
634,0.634,0.253115,-0.0549044
635,0.635,0.253115,-0.0549044
636,0.636,0.253115,-0.0549044
637,0.637,0.253115,-0.0549044
638,0.638,0.253115,-0.0549044
639,0.639,0.253115,-0.0549044
640,0.64,0.253115,-0.0549044
641,0.641,0.253115,-0.0549044
642,0.642,0.253115,-0.0549044
643,0.643,0.253115,-0.0549044
644,0.644,0.253115,-0.0549044
645,0.645,0.253115,-0.0549044
646,0.646,0.253115,-0.0366029
647,0.647,0.253115,-0.0366029
648,0.648,0.253115,-0.0366029
649,0.649,0.253115,-0.0366029
650,0.65,0.253115,-0.0366029
651,0.651,0.253115,-0.0549044
652,0.652,0.253115,0
653,0.653,0.253115,-0.0549044
654,0.654,0.253115,-0.0549044
655,0.655,0.253115,-0.0549044
656,0.656,0.253115,-0.0549044
657,0.657,0.253115,-0.0549044
658,0.658,0.253115,-0.0549044
659,0.659,0.253115,-0.0549044
660,0.66,0.253115,-0.0549044
661,0.661,0.253115,-0.0549044
662,0.662,0.253115,-0.0549044
663,0.663,0.253115,-0.0549044
664,0.664,0.253115,-0.0549044
665,0.665,0.253115,-0.0549044
666,0.666,0.253115,-0.0549044
667,0.667,0.253115,0
668,0.668,0.253115,0
669,0.669,0.253115,0
670,0.67,0.253115,0
671,0.671,0.253115,0
672,0.672,0.253115,-0.0549044
673,0.673,0.253115,-0.0549044
674,0.674,0.253115,-0.0549044
